REGIONS/DISTRICTS,TOTAL CASES,HOMICIDES,ECONOMIC,SEX REL,CHILD REL,BREAKINGS,THEFTS,ROBBERIES,ASSAULTS,OTHER CRIMES,TERRORISM,POL/MEDIA,CORRUPTION,NARCOTICS,OTHER LAWS
C.I.D Headquarters,"1,398",3,723,12,3,1,92,5,14,377,,44,18,36,69
C.I.D,"1,398",3,723,12,3,1,92,5,14,377,-,44,18,36,69
Jinja Road,"1,379",12,197,110,10,75,468,76,122,272,,5,,30,3
Kira Division,"1,341",16,125,117,20,120,401,99,73,348,,10,1,10,2
Kira Road,"2,284",16,160,93,122,123,677,147,274,606,1,11,,51,4
Mukono,"2,383",22,182,222,28,185,798,68,234,583,,18,,27,17
Nagalama,991,20,48,124,8,66,257,39,151,259,,6,,9,4
KMP EAST,"8,379",85,711,666,187,569,"2,601",430,853,"2,068",1,50,1,126,30
CPS Kampala,"1,630",7,472,12,2,41,642,40,81,219,,16,1,22,75
Katwe,"2,805",36,161,273,326,89,645,87,305,841,,6,,34,1
Kabalagala,"1,537",31,130,119,28,95,478,85,178,353,,3,,34,3
Kajjansi,999,10,77,24,24,56,390,51,25,309,,-,,32,1
Entebbe,"1,312",23,134,111,24,89,315,44,90,424,,12,,23,24
Nsangi,"1,253",26,122,111,25,100,319,73,112,354,,2,,10,-
KMP SOUTH,"9,535",133,"1,095",650,429,469,"2,788",381,791,"2,499",-,39,1,156,103
Old Kampala,"3,268",39,248,134,301,108,785,150,334,"1,120",,24,,21,5
Wakiso,"1,433",18,136,117,100,91,355,65,43,482,,8,,17,2
Wandegeya,"1,181",14,137,40,94,57,372,52,96,295,,5,,19,0
Kawempe,"2,051",29,135,172,107,114,607,124,250,442,,40,,31,0
Nansana,"1,548",14,152,171,28,116,477,92,81,385,,12,,18,1
Kakiri,505,7,52,38,1,25,116,5,58,186,,7,,9,0
Kasangati,"1,767",31,163,161,75,120,437,153,117,498,,2,,11,-
KMP NORTH,"11,753",154,"1,021",832,706,630,"3,149",643,980,"3,407",-,98,-,124,9
Luwero,"1,977",73,139,199,109,83,514,75,129,607,,1,,11,38
Nakaseke,"1,252",63,39,127,42,51,279,26,212,388,,3,,5,15
Nakasongola,"1,017",31,32,100,66,26,245,23,110,330,,7,,8,39
SAVANNAH,"4,246",167,210,426,217,160,"1,038",124,452,"1,325",-,11,-,24,93
Buikwe,"1,670",52,100,217,86,83,266,53,170,597,,1,,7,40
Kayunga,"1,336",23,76,126,59,110,361,34,117,408,,9,,6,7
Njeru,884,51,27,77,45,51,218,16,73,281,,-,,13,32
Buvuma,"1,145",29,71,66,11,40,247,26,291,336,,2,,7,19
SEZIBWA,"5,035",155,274,487,202,284,"1,091",129,651,"1,622",-,12,-,32,97
Butambala,"1,888",13,142,123,19,122,475,33,307,616,,12,,21,5
Gomba,"2,248",20,114,126,53,78,582,21,503,743,,4,,2,1
Mpigi,"3,003",29,151,182,79,144,866,59,454,"1,015",,-,,15,9
KATONGA,"7,140",63,406,431,152,344,"1,924",113,"1,264","2,374",-,16,-,37,15
Kiboga,890,17,39,90,10,68,256,33,108,247,,9,,10,3
Mubende,"1,173",57,57,189,34,96,278,51,80,307,,1,,20,4
Kassanda,"1,051",44,49,168,4,96,238,35,105,286,,4,,22,0
Mityana,"1,416",27,94,172,15,110,348,41,122,460,,13,,10,4
Kyankwanzi,652,29,28,81,11,27,156,13,74,206,,15,,8,3
WAMALA,"5,183",175,267,702,75,396,"1,275",174,488,"1,506",-,42,-,69,15
Rakai,771,29,28,107,38,57,163,14,90,222,,-,,8,15
Lyantonde,664,7,18,54,71,33,134,22,115,191,,2,,15,-
Masaka,"1,790",69,113,187,57,111,488,44,136,490,,18,,53,25
Kyotera,"1,440",22,44,127,23,94,360,16,127,606,,-,,18,5
Sembabule,"1,588",98,49,123,63,91,379,34,197,531,,7,,10,6
Bukomansimbi,875,8,27,92,21,60,236,23,83,298,,-,,27,-
Kalungu,618,35,26,70,20,44,216,27,36,127,,2,,8,6
Lwengo,"1,641",62,46,149,93,66,308,21,280,582,,10,,10,14
Kalangala,696,36,15,56,14,31,144,7,83,254,,4,,7,44
GREATER MASAKA,"10,083",366,365,966,400,588,"2,428",209,"1,146","3,301",-,43,-,155,115
Kisoro,705,48,29,75,14,27,100,33,136,204,,4,,9,26
